	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	Sulfur_id	kegg_genes_id	ko_id	kegg_hit	kegg_RBH	kegg_identity	kegg_bitScore	kegg_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_88	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	88	96906	97889	1	A		rhz:RHPLAN_63500		rhz:RHPLAN_63500 ()	TRUE	0.683	395	3.00E-120								Tripartite tricarboxylate transporter family receptor [PF03401.17]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_89	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	89	97977	99143	1	A		rhz:RHPLAN_08850	K22209	rhz:RHPLAN_08850 (K22209) tarD; D(-)-tartrate dehydratase [EC:4.2.1.81]	TRUE	0.786	625	1.73E-198								"Enolase C-terminal domain-like [PF13378.9]; Mandelate racemase / muconate lactonizing enzyme, N-terminal domain [PF02746.19]"					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_90	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	90	99221	101206	-1	C		bpla:bpln_2g14240		bpla:bpln_2g14240 ()	FALSE	0.249	193	5.10E-47								Transglutaminase-like superfamily [PF01841.22]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_91	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	91	101258	102244	-1	A		star:G3545_21650	K04102	"star:G3545_21650 (K04102) pht5; 4,5-dihydroxyphthalate decarboxylase [EC:4.1.1.55]"	TRUE	0.761	511	2.78E-160								NMT1/THI5 like [PF09084.14]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_92	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	92	102271	104625	-1	A		psin:CAK95_18550	K03520	"psin:CAK95_18550 (K03520) coxL, cutL; aerobic carbon-monoxide dehydrogenase large subunit [EC:1.2.5.3]"	TRUE	0.574	848	2.45E-268								"Molybdopterin cofactor-binding domain [PF02738.21]; Molybdopterin cofactor-binding domain [PF20256.1]; Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain [PF01315.25]"					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_93	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	93	104744	105430	-1	C		oca:OCAR_4543	K01991	"oca:OCAR_4543 (K01991) wza, gfcE; polysaccharide biosynthesis/export protein"	FALSE	0.636	190	4.63E-51								Polysaccharide biosynthesis/export protein [PF02563.19]; SLBB domain [PF10531.12]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_94	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	94	105567	106226	-1	A		riv:Riv7116_6065	K07304	riv:Riv7116_6065 (K07304) msrA; peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]	TRUE	0.843	366	3.17E-112								Peptide methionine sulfoxide reductase [PF01625.24]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_95	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	95	106427	106963	1	C		rhz:RHPLAN_70820	K11477	rhz:RHPLAN_70820 (K11477) glcG; glc operon protein GlcG	FALSE	0.531	180	2.08E-48								Haem degrading protein HbpS-like [PF03928.17]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_96	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	96	106979	107299	-1	C		rhz:RHPLAN_70890		rhz:RHPLAN_70890 ()	FALSE	0.532	109	3.02E-25													0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_97	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	97	107502	109781	1	A		psin:CAK95_09455	K00029	"psin:CAK95_09455 (K00029) E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]"	TRUE	0.829	1298	0								"Phosphate acetyl/butaryl transferase [PF01515.22]; Malic enzyme, NAD binding domain [PF03949.18]; Malic enzyme, N-terminal domain [PF00390.22]"					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_98	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	98	109802	110698	1	A		rhz:RHPLAN_71000	K01714	rhz:RHPLAN_71000 (K01714) dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	TRUE	0.729	440	2.98E-136								Dihydrodipicolinate synthetase family [PF00701.25]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_99	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	99	110832	111098	1	C		bof:FQV39_18505	K02968	"bof:FQV39_18505 (K02968) RP-S20, rpsT; small subunit ribosomal protein S20"	FALSE	0.666	118	1.23E-28								Ribosomal protein S20 [PF01649.21]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_100	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	100	112262	113695	1	A		trb:HB776_23115	K02313	trb:HB776_23115 (K02313) dnaA; chromosomal replication initiator protein	TRUE	0.721	693	1.53E-220								Bacterial dnaA  protein [PF00308.21]; Bacterial dnaA protein helix-turn-helix [PF08299.14]; DnaA N-terminal domain [PF11638.11]; IstB-like ATP binding protein [PF01695.20]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_101	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	101	113832	114950	1	A		rpc:RPC_0002	K02338	rpc:RPC_0002 (K02338) dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]	TRUE	0.806	617	4.53E-196								"DNA polymerase III beta subunit, central domain [PF02767.19]; DNA polymerase III beta subunit, N-terminal domain [PF00712.22]; DNA polymerase III beta subunit, C-terminal domain [PF02768.18]"					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_102	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	102	115005	116177	1	A		rhz:RHPLAN_00030	K03629	rhz:RHPLAN_00030 (K03629) recF; DNA replication and repair protein RecF	TRUE	0.675	508	5.41E-158								RecF/RecN/SMC N terminal domain [PF02463.22]; AAA domain [PF13476.9]; AAA ATPase domain [PF13175.9]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_103	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	103	116316	116552	1	E																					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_104	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	104	116708	119281	1	A		metg:HT051_00025	K02470	metg:HT051_00025 (K02470) gyrB; DNA gyrase subunit B [EC:5.6.2.2]	TRUE	0.691	1110	0								"DNA gyrase B [PF00204.28]; DNA gyrase B subunit, carboxyl terminus [PF00986.24]; DNA gyrase B subunit insert domain [PF18053.4]; Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.29]; Toprim domain [PF01751.25]"					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_105	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	105	119289	120956	1	A		rhz:RHPLAN_00730		rhz:RHPLAN_00730 ()	TRUE	0.681	744	1.13E-236								FAD binding domain [PF01494.22]; HI0933-like protein [PF03486.17]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_106	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	106	121097	121942	-1	C		rhz:RHPLAN_00720		rhz:RHPLAN_00720 ()	FALSE	0.585	318	2.46E-94								NAD binding domain of 6-phosphogluconate dehydrogenase [PF03446.18]; Domain of unknown function (DUF1932) [PF09130.14]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_107	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	107	122123	122977	-1	A		psin:CAK95_09260		psin:CAK95_09260 ()	TRUE	0.763	407	4.90E-125								Beta-lactamase superfamily domain [PF13483.9]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_108	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	108	123177	124112	-1	C		psin:CAK95_09255		psin:CAK95_09255 ()	FALSE	0.389	152	1.21E-36													0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_109	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	109	124251	125252	-1	A		rhz:RHPLAN_00770		rhz:RHPLAN_00770 ()	TRUE	0.748	506	1.52E-158								pfkB family carbohydrate kinase [PF00294.27]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_110	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	110	125596	126630	1	A		rhz:RHPLAN_00780	K01867	"rhz:RHPLAN_00780 (K01867) WARS, trpS; tryptophanyl-tRNA synthetase [EC:6.1.1.2]"	TRUE	0.791	555	3.77E-175								tRNA synthetases class I (W and Y) [PF00579.28]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_111	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	111	126701	127195	1	C		rhz:RHPLAN_00790		rhz:RHPLAN_00790 ()	FALSE	0.756	252	6.98E-74								Universal stress protein family [PF00582.29]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_112	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	112	127465	128499	-1	A		rhz:RHPLAN_70020		rhz:RHPLAN_70020 ()	TRUE	0.686	458	1.62E-141								O-methyltransferase domain [PF00891.21]; Dimerisation domain [PF16864.8]; ubiE/COQ5 methyltransferase family [PF01209.21]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_113	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	113	128690	129250	1	C		psin:CAK95_09225		psin:CAK95_09225 ()	FALSE	0.797	306	4.50E-92								Scaffold protein Nfu/NifU N terminal [PF08712.14]; NifU-like domain [PF01106.20]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_114	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	114	129294	129968	1	C		psin:CAK95_09220	K14742	psin:CAK95_09220 (K14742) tsaB; tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	FALSE	0.576	252	1.03E-72								tRNA N6-adenosine threonylcarbamoyltransferase [PF00814.28]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_115	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	115	130094	130453	1	C		rhz:RHPLAN_00820	K03789	rhz:RHPLAN_00820 (K03789) rimI; [ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]	FALSE	0.662	159	2.73E-42								Acetyltransferase (GNAT) family [PF00583.28]; FR47-like protein [PF08445.13]; Acetyltransferase (GNAT) domain [PF13420.10]; Acetyltransferase (GNAT) domain [PF13673.10]; Acetyltransferase (GNAT) domain [PF13508.10]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_116	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	116	130478	130912	1	C		rhz:RHPLAN_00830	K03711	"rhz:RHPLAN_00830 (K03711) fur, zur, furB; Fur family transcriptional regulator, ferric uptake regulator"	FALSE	0.841	240	4.87E-70								Ferric uptake regulator family [PF01475.22]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_117	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	117	131076	132491	1	A		rhz:RHPLAN_00990	K06168	rhz:RHPLAN_00990 (K06168) miaB; tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3]	TRUE	0.709	651	3.56E-206								Uncharacterized protein family UPF0004 [PF00919.23]; Radical SAM superfamily [PF04055.24]; TRAM domain [PF01938.23]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_118	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	118	132472	133509	1	A		psin:CAK95_09200	K06217	"psin:CAK95_09200 (K06217) phoH, phoL; phosphate starvation-inducible protein PhoH and related proteins"	TRUE	0.782	528	5.75E-166								PhoH-like protein [PF02562.19]; AAA domain [PF13604.9]; AAA domain [PF13245.9]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_119	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	119	133528	134016	1	C		star:G3545_18160	K07042	"star:G3545_18160 (K07042) ybeY, yqfG; probable rRNA maturation factor"	FALSE	0.539	161	3.87E-42								Endoribonuclease YbeY [PF02130.20]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_120	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	120	134025	135188	1	A		rhz:RHPLAN_01020	K06189	"rhz:RHPLAN_01020 (K06189) corC, tlyC; hemolysin (HlyC) family protein"	TRUE	0.607	458	5.59E-141								Transporter associated domain [PF03471.20]; CBS domain [PF00571.31]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_121	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	121	135185	136780	1	A		psin:CAK95_09185	K03820	psin:CAK95_09185 (K03820) lnt; apolipoprotein N-acyltransferase [EC:2.3.1.269]	TRUE	0.712	756	3.15E-241								Carbon-nitrogen hydrolase [PF00795.25]; Apolipoprotein N-acyltransferase N-terminal domain [PF20154.2]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_122	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	122	137033	137437	1	C		psin:CAK95_09180		psin:CAK95_09180 ()	FALSE	0.791	216	7.04E-62								Helix-turn-helix domain [PF12844.10]; Helix-turn-helix [PF01381.25]; Helix-turn-helix domain [PF13560.9]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_123	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	123	137652	138926	1	A		psin:CAK95_09175	K00789	"psin:CAK95_09175 (K00789) metK, MAT; S-adenosylmethionine synthetase [EC:2.5.1.6]"	TRUE	0.877	767	3.79E-247								"S-adenosylmethionine synthetase, C-terminal domain [PF02773.19]; S-adenosylmethionine synthetase, central domain [PF02772.19]; S-adenosylmethionine synthetase, N-terminal domain [PF00438.23]"					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_124	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	124	138969	139691	1	C		psin:CAK95_09170	K03439	"psin:CAK95_09170 (K03439) trmB, METTL1, TRM8; tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]"	FALSE	0.737	336	2.86E-101								Putative methyltransferase [PF02390.20]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_125	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	125	139716	141089	1	A		psin:CAK95_22765	K03305	"psin:CAK95_22765 (K03305) TC.POT; proton-dependent oligopeptide transporter, POT family"	TRUE	0.775	698	1.05E-222								POT family [PF00854.24]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_126	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	126	141427	141606	1	E																					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_127	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	127	141804	142706	1	A		rhz:RHPLAN_60610	K06136	rhz:RHPLAN_60610 (K06136) pqqB; pyrroloquinoline quinone biosynthesis protein B	TRUE	0.726	439	4.47E-136													0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_128	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	128	142831	143568	1	A		psin:CAK95_16050		psin:CAK95_16050 ()	TRUE	0.833	413	7.37E-128								TENA/THI-4/PQQC family [PF03070.19]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_129	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	129	143565	143867	1	C		psin:CAK95_16055	K06138	psin:CAK95_16055 (K06138) pqqD; pyrroloquinoline quinone biosynthesis protein D	FALSE	0.724	144	1.35E-37								Coenzyme PQQ synthesis protein D (PqqD) [PF05402.15]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_130	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	130	143860	144993	1	A		rhz:RHPLAN_60570	K06139	rhz:RHPLAN_60570 (K06139) pqqE; PqqA peptide cyclase [EC:1.21.98.4]	TRUE	0.766	561	1.08E-176								Radical SAM superfamily [PF04055.24]; 4Fe-4S single cluster domain [PF13353.9]; Iron-sulfur cluster-binding domain [PF13186.9]; 4Fe-4S single cluster domain [PF13394.9]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_131	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	131	145006	146268	1	A		bqb:J4P68_0009320		bqb:J4P68_0009320 ()	TRUE	0.666	554	2.09E-173								Glucose / Sorbosone dehydrogenase [PF07995.14]; SMP-30/Gluconolactonase/LRE-like region [PF08450.15]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_132	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	132	146364	147107	1	C		poo:F7R28_21095	K02020	poo:F7R28_21095 (K02020) modA; molybdate transport system substrate-binding protein	FALSE	0.509	222	8.91E-62													0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_133	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	133	147165	148577	1	A		rhz:RHPLAN_55600	K12960	rhz:RHPLAN_55600 (K12960) mtaD; 5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28]	TRUE	0.742	706	4.75E-225	MER0120001	M38	MER0120001 - family M38 non-peptidase homologues (Desulforudis audaxviator) [M38.UNW]#M38#{peptidase unit: 20-364}~source ACA59185~	FALSE	0.318	183	2.36E-47	Amidohydrolase family [PF01979.23]; Amidohydrolase family [PF07969.14]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_134	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	134	148659	149462	1	A		rhz:RHPLAN_55560	K02049	rhz:RHPLAN_55560 (K02049) ABC.SN.A; NitT/TauT family transport system ATP-binding protein	TRUE	0.732	389	2.38E-119								ABC transporter [PF00005.30]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_135	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	135	149459	150250	1	A		rhz:RHPLAN_55570		rhz:RHPLAN_55570 ()	TRUE	0.798	417	5.26E-129								Binding-protein-dependent transport system inner membrane component [PF00528.25]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_136	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	136	150269	151330	1	A		rhz:RHPLAN_55580	K02051	rhz:RHPLAN_55580 (K02051) ABC.SN.S; NitT/TauT family transport system substrate-binding protein	TRUE	0.811	552	7.04E-174								NMT1-like family [PF13379.9]; NMT1/THI5 like [PF09084.14]; NMT1-like family [PF16868.8]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_137	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	137	151458	152885	-1	A		rhz:RHPLAN_51350		rhz:RHPLAN_51350 ()	TRUE	0.809	785	1.99E-252								3-octaprenyl-4-hydroxybenzoate carboxy-lyase [PF01977.19]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_138	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	138	152948	153427	-1	C		rhz:RHPLAN_03440	K01520	"rhz:RHPLAN_03440 (K01520) dut, DUT; dUTP pyrophosphatase [EC:3.6.1.23]"	FALSE	0.688	207	3.19E-58								dUTPase [PF00692.22]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_139	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	139	153424	154641	-1	A		psin:CAK95_11025	K13038	"psin:CAK95_11025 (K13038) coaBC, dfp; phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]"	TRUE	0.708	564	4.16E-177								DNA / pantothenate metabolism flavoprotein [PF04127.18]; Flavoprotein [PF02441.22]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_140	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	140	154638	154955	-1	C		kmn:HW532_21565	K21498	kmn:HW532_21565 (K21498) higA-1; antitoxin HigA-1	FALSE	0.615	128	1.01E-31													0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_141	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	141	155171	155596	-1	C		nao:Y958_23675	K07062	nao:Y958_23675 (K07062) fitB; toxin FitB [EC:3.1.-.-]	FALSE	0.532	142	4.26E-36								PIN domain [PF01850.24]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_142	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	142	155609	155857	-1	C		rei:IE4771_PC00146	K21495	rei:IE4771_PC00146 (K21495) fitA; antitoxin FitA	FALSE	0.546	87	5.05E-18													0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_143	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	143	155914	157482	-1	A		psin:CAK95_11030	K03688	"psin:CAK95_11030 (K03688) ubiB, aarF; ubiquinone biosynthesis protein"	TRUE	0.72	754	7.46E-241								ABC1 atypical kinase-like domain [PF03109.19]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_144	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	144	157490	158257	-1	A		psin:CAK95_11035	K03183	"psin:CAK95_11035 (K03183) ubiE; demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]"	TRUE	0.754	380	2.66E-116								ubiE/COQ5 methyltransferase family [PF01209.21]; Methyltransferase domain [PF08241.15]; Methyltransferase domain [PF13847.9]; Methyltransferase domain [PF13649.9]; Methyltransferase domain [PF13489.9]; Methyltransferase domain [PF08242.15]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_145	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	145	158348	159229	1	A		psin:CAK95_11040	K10563	"psin:CAK95_11040 (K10563) mutM, fpg; formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]"	TRUE	0.753	449	1.24E-139								Formamidopyrimidine-DNA glycosylase N-terminal domain [PF01149.27]; Formamidopyrimidine-DNA glycosylase H2TH domain [PF06831.17]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_146	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	146	159254	160027	1	A		psin:CAK95_09045	K01692	"psin:CAK95_09045 (K01692) paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]"	TRUE	0.761	400	4.20E-123	MER1073240	S49C	MER1073240 - subfamily S49C non-peptidase homologues (Acinetobacter bohemicus) [S49.UNC]#S49C#{peptidase unit: 84-212}~source N8Q6E4~	FALSE	0.64	160	2.76E-42	Enoyl-CoA hydratase/isomerase [PF00378.23]; Enoyl-CoA hydratase/isomerase [PF16113.8]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_147	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	147	160276	161100	1	A		rhz:RHPLAN_68100	K01265	rhz:RHPLAN_68100 (K01265) map; methionyl aminopeptidase [EC:3.4.11.18]	TRUE	0.87	495	6.94E-156	MER0572348	M24A	MER0572348 - subfamily M24A unassigned peptidases () [M24.UPA]#M24A#{peptidase unit: 17-277}~source OLB78238~	TRUE	0.89	473	4.02E-150	Metallopeptidase family M24 [PF00557.27]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3743891_148	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3743891	148	161088	161252	-1	E																					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3759633_1	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3759633	1	185	1183	-1	A		rhz:RHPLAN_14840	K00948	"rhz:RHPLAN_14840 (K00948) PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]"	TRUE	0.843	554	5.62E-175								N-terminal domain of ribose phosphate pyrophosphokinase [PF13793.9]; Phosphoribosyl synthetase-associated domain [PF14572.9]; Phosphoribosyl transferase domain [PF00156.30]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3759633_2	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3759633	2	1255	2043	-1	A		rhz:RHPLAN_14860	K05810	"rhz:RHPLAN_14860 (K05810) LACC1, yfiH; purine-nucleoside/S-methyl-5'-thioadenosine phosphorylase / adenosine deaminase [EC:2.4.2.1 2.4.2.28 3.5.4.4]"	TRUE	0.712	364	1.49E-110								Multi-copper polyphenol oxidoreductase laccase [PF02578.18]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_3759633_3	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_3759633	3	2040	3137	-1	A		psin:CAK95_13490	K18164	psin:CAK95_13490 (K18164) NDUFAF7; NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 7	TRUE	0.652	468	1.14E-144								Putative S-adenosyl-L-methionine-dependent methyltransferase [PF02636.20]					0
